"[]_id","<ROOT>_id","id","lastVisitTime","title","typedCount","url","visitCount"
"17","1","140","42568.197756111","Solved: What SSD will work with my Flex 3 - Lenovo Community","0","https://forums.lenovo.com/t5/Lenovo-IdeaPad-100-305-500-Edge/What-SSD-will-work-with-my-Flex-3/td-p/2067035","2"
"18","1","129","42568.197719653","Real-time operating system - Wikipedia, the free encyclopedia","0","https://en.wikipedia.org/wiki/Real-time_operating_system","1"
"19","1","130","42568.197697882","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=how%20is%20real%20time%20os%20made","1"
"20","1","136","42568.197670162","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=where+bootstrap+program+is+stored+in+ROM","1"
"21","1","139","42568.168610694","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=lenovo%20flex%203%20ssd%20upgrade","1"
"22","1","138","42568.168392824","Where is the bootloader stored – in ROM, RAM, or elsewhere? | Some Ubuntu Questions and Answers","0","https://ubuntu4questions.wordpress.com/2014/12/30/where-is-the-bootloader-stored-in-rom-ram-or-elsewhere/","1"
"23","1","137","42567.84009066","","0","https://www.google.co.in/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=0ahUKEwjb06yy8_bNAhUUUWMKHYJfBjYQFggkMAE&url=https%3A%2F%2Fubuntu4questions.wordpress.com%2F2014%2F12%2F30%2Fwhere-is-the-bootloader-stored-in-rom-ram-or-elsewhere%2F&usg=AFQjCNHU0EHZ6p-uIyQemwiCMucu0iuVcQ&bvm=bv.127178174,d.cGc","1"
"24","1","135","42567.830543947","boot - Where is the bootloader stored - in ROM, RAM, or elsewhere? - Ask Ubuntu","0","http://askubuntu.com/questions/173248/where-is-the-bootloader-stored-in-rom-ram-or-elsewhere","1"
"25","1","134","42567.830498461","","0","https://www.google.co.in/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=0ahUKEwj4w8Kr8PbNAhUTR48KHRSJBD4QFggiMAE&url=http%3A%2F%2Faskubuntu.com%2Fquestions%2F173248%2Fwhere-is-the-bootloader-stored-in-rom-ram-or-elsewhere&usg=AFQjCNH15S2B644sEux48jKr4h6qLadJGA&bvm=bv.127178174,d.c2I","1"
"26","1","133","42567.830337812","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=what+is+the+address+in+which+os+is+stored+in+ROM","1"
"27","1","132","42567.823870961","What is Real Time Operating System (RTOS)- How it works?","0","http://www.circuitstoday.com/what-is-real-time-operating-system-rtos","1"
"28","1","131","42567.823844491","","0","https://www.google.co.in/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwj6lJie7vbNAhUfSo8KHbA0DNUQFggcMAA&url=http%3A%2F%2Fwww.circuitstoday.com%2Fwhat-is-real-time-operating-system-rtos&usg=AFQjCNGGBgPsf9RaBZBBezw3V6_j5wvUjw&bvm=bv.127178174,d.c2I","1"
"29","1","128","42567.819104028","real time in operating system definition - Google Search","0","https://www.google.co.in/search?q=real+time&rlz=1C1CHZL_enIN689IN689&oq=real+time&aqs=chrome..69i57j0l5.3483j0j7&sourceid=chrome&ie=UTF-8#q=real+time+in+operating+system+definition","1"
"30","1","127","42567.818898657","real time meaning - Google Search","0","https://www.google.co.in/search?q=real+time&rlz=1C1CHZL_enIN689IN689&oq=real+time&aqs=chrome..69i57j0l5.3483j0j7&sourceid=chrome&ie=UTF-8#q=real+time+meaning","1"
"31","1","126","42567.818751759","real time - Google Search","0","https://www.google.co.in/search?q=real+time&rlz=1C1CHZL_enIN689IN689&oq=real+time&aqs=chrome..69i57j0l5.3483j0j7&sourceid=chrome&ie=UTF-8","1"
"32","1","93","42567.818745185","https://developer.chrome.com/apps/app_codelab_intro is not available","0","https://developer.chrome.com/apps/app_codelab_intro","6"
"33","1","103","42567.81869985","https://developer.chrome.com/apps/app_codelab_alarms is not available","0","https://developer.chrome.com/apps/app_codelab_alarms","3"
"34","1","121","42567.818660093","http://www.w3schools.com/Js/ is not available","0","http://www.w3schools.com/Js/","1"
"35","1","125","42567.467254039","W3Fools – Better web education for all","0","http://www.w3fools.com/","1"
"36","1","123","42567.466808831","Does a certificate from W3Schools.com have any weight? - Quora","0","https://www.quora.com/Does-a-certificate-from-W3Schools-com-have-any-weight","1"
"37","1","122","42567.466764907","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=how%20tought%20is%20it%20to%20get%20w3school%20certificate%20quora","1"
"38","1","120","42567.451027674","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=javascript","1"
"39","1","119","42567.438300289","","0","https://www.google.co.in/search?q=mark+zuckerberg+covering+cam+and+mic&biw=1422&bih=697&tbm=isch&imgil=8QxjsAewuUgtRM%253A%253BifluOMz05l_MaM%253Bhttps%25253A%25252F%25252Fwww.hackread.com%25252Fmark-zuckerbergs-laptop-cam-tape%25252F&source=iu&pf=m&fir=8QxjsAewuUgtRM%253A%252CifluOMz05l_MaM%252C_&usg=__eIyKVupY8i62LMPc3LowaW6qbL4%3D&ved=0ahUKEwibmuGQ8vXNAhXFpo8KHTfvAXkQyjcIMQ&ei=lg-JV5v3FsXNvgS33ofIBw#imgrc=8QxjsAewuUgtRM%3A","1"
"40","1","117","42567.438187743","mark zuckerberg covering cam and mic - Google Search","0","https://www.google.co.in/?gfe_rd=cr&ei=iQ-JV8PNFq7T8gfQ4LugCw#q=mark+zuckerberg+covering+cam+and+mic","1"
"41","1","116","42567.438121736","Google","0","https://www.google.co.in/?gfe_rd=cr&ei=iQ-JV8PNFq7T8gfQ4LugCw","1"
"42","1","110","42567.43790853","Getting Started","0","https://www.google.com/intl/en/chrome/browser/welcome.html","2"
"43","1","115","42567.437409213","mark zuckerberg covering cam and mic - Yahoo Search Results","0","https://search.yahoo.com/search?p=mark+zuckerberg+covering+cam+and+mic&fr=yset_chr_cnewtab&type=default","1"
"44","1","114","42567.432256296","android support for chromebook - Google Search","0","https://www.google.co.in/?gfe_rd=cr&ei=kA2JV7WYCK_v8wf2rIWwCw#q=android+support+for+chromebook","1"
"45","1","113","42567.432195949","Google","0","https://www.google.co.in/?gfe_rd=cr&ei=kA2JV7WYCK_v8wf2rIWwCw","1"
"46","1","112","42567.432039248","android support for chromebook - Yahoo Search Results","0","https://search.yahoo.com/search;_ylt=AwrSbg94DYlXJZ0Ai4VXNyoA;_ylc=X1MDMjc2NjY3OQRfcgMyBGZyA3lzZXRfY2hyX2NuZXd0YWIEZ3ByaWQDUHA3Ym0wYldUenFVTl9oLklIbGY3QQRuX3JzbHQDMARuX3N1Z2cDMARvcmlnaW4Dc2VhcmNoLnlhaG9vLmNvbQRwb3MDMARwcXN0cgMEcHFzdHJsAwRxc3RybAMzNgRxdWVyeQNhbmRyb2lkJTIwc3VwcG9ydCUyMGZvciUyMGNocm9tZWJvb2sEdF9zdG1wAzE0Njg2NjQ1Mjc-?p=android+support+for+chromebook&fr2=sb-top-search&fr=yset_chr_cnewtab&type=default","1"
"47","1","111","42567.43191831","android for chromebook - Yahoo Search Results","0","https://search.yahoo.com/search?p=android+for+chromebook&fr=yset_chr_cnewtab&type=default","1"
"48","1","107","42567.415424387","flipkart - Yahoo Search Results","0","https://search.yahoo.com/search?p=flipkart&fr=yset_chr_cnewtab&type=default","1"
"49","1","106","42567.413821215","Google","0","https://www.google.co.in/webhp?rlz=1C1CHZL_enIN689IN689&ie=UTF-8&rct=j","1"
"50","1","105","42567.413792164","","1","https://www.google.co.in/_/chrome/newtab?rlz=1C1CHZL_enIN689IN689&espv=2&ie=UTF-8","1"
"51","1","104","42567.328869687","Step 2: Import an Existing Web App - Google Chrome","0","https://developer.chrome.com/apps/app_codelab_import_todomvc","1"
"52","1","101","42567.320154421","Web Site Blocked","0","http://creativecommons.org/licenses/by/3.0/","1"
"53","1","100","42567.304166377","Weather_SunAbstract.png (512×512)","0","https://cdn1.iconfinder.com/data/icons/weather-elements/512/Weather_SunAbstract.png","1"
"54","1","99","42567.304165475","","0","https://www.google.co.in/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwjiv_T3xvXNAhWHq48KHY9DAYcQjBwIBA&url=https%3A%2F%2Fcdn1.iconfinder.com%2Fdata%2Ficons%2Fweather-elements%2F512%2FWeather_SunAbstract.png&psig=AFQjCNEQcdlcNbz6JY5e8kjTYLzJkkMO1A&ust=1468675006733257","1"
"55","1","98","42567.303991169","","0","https://www.google.co.in/search?q=sun.png+icons&rlz=1C1CHZL_enIN689IN689&espv=2&biw=1422&bih=697&tbm=isch&imgil=9cZRtHzqD1vWwM%253A%253BHVPlM-4kSShebM%253Bhttps%25253A%25252F%25252Fwww.iconfinder.com%25252Ficons%25252F642436%25252Fabstract_clear_forecast_sun_sunny_temperature_weather_icon&source=iu&pf=m&fir=9cZRtHzqD1vWwM%253A%252CHVPlM-4kSShebM%252C_&usg=__6kFt3qbVS-MnMgP1EbSUIrdGu9M%3D&ved=0ahUKEwjiy8jtxvXNAhVJN48KHTalDoQQyjcIOw&ei=NeKIV6LdM8nuvAS2yrqgCA#imgrc=9cZRtHzqD1vWwM%3A","1"
"56","1","97","42567.303841632","sun.png icons - Google Search","0","https://www.google.co.in/search?q=sun.png+icons&rlz=1C1CHZL_enIN689IN689&espv=2&biw=1422&bih=697&tbm=isch&imgil=9cZRtHzqD1vWwM%253A%253BHVPlM-4kSShebM%253Bhttps%25253A%25252F%25252Fwww.iconfinder.com%25252Ficons%25252F642436%25252Fabstract_clear_forecast_sun_sunny_temperature_weather_icon&source=iu&pf=m&fir=9cZRtHzqD1vWwM%253A%252CHVPlM-4kSShebM%252C_&usg=__6kFt3qbVS-MnMgP1EbSUIrdGu9M%3D&ved=0ahUKEwjiy8jtxvXNAhVJN48KHTalDoQQyjcIOw&ei=NeKIV6LdM8nuvAS2yrqgCA","1"
"57","1","96","42567.303751516","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=sun.png%20icons","1"
"58","1","95","42567.297890625","Step 1: Create and Run a Chrome App - Google Chrome","0","https://developer.chrome.com/apps/app_codelab_basics","1"
"59","1","92","42567.297335567","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=chrome%20app%20developement","1"
"60","1","91","42567.296865833","Simple To-Do List - Chrome Web Store","0","https://chrome.google.com/webstore/detail/simple-to-do-list/jimdhomgkpmmhhcegiebdajlkmjgikaf?hl=en","1"
"61","1","90","42567.296789907","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=create%20to%20do%20list%20chrome%20app","1"
"62","1","87","42567.295403576","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=advantages%20of%20chrome%20apps","2"
"63","1","89","42567.294769491","20 Best Chrome Apps","0","http://www.tomsguide.com/us/pictures-story/611-best-chrome-apps.html","1"
"64","1","88","42567.294695394","What are the Benefits of Chrome Apps that Duplicate a Website?","0","http://www.howtogeek.com/189144/what-are-the-benefits-of-chrome-apps-that-duplicate-a-website/","1"
"65","1","86","42567.294492187","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=best%20chrome%20apps","1"
"66","1","85","42567.278861898","HTML Color Picker","0","http://www.w3schools.com/colors/colors_picker.asp","1"
"67","1","84","42567.278821528","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=color%20picker","1"
"68","1","83","42567.27601169","CSS How to","0","http://www.w3schools.com/css/css_howto.asp","1"
"69","1","82","42567.2759761","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=linking%20css%20to%20html","1"
"70","1","81","42567.247353785","Services and APIs","0","https://developer.amazon.com/services-and-apis","1"
"71","1","80","42567.245435787","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=api%20offered%20by%20amazon","1"
"72","1","79","42567.241021007","compararor.com - Google Search","0","https://www.google.co.in/?gfe_rd=cr&ei=9MyIV5GgOobI8AfU0LywDA#q=compararor.com","1"
"73","1","78","42567.24076728","Google","0","https://www.google.co.in/?gfe_rd=cr&ei=9MyIV5GgOobI8AfU0LywDA","1"
"74","1","14","42567.240450718","Quora - The best answer to any question","0","https://www.quora.com/","2"
"75","1","75","42567.215129375","","0","https://www.linkedin.com/in/sachin-s-kamath-b42792aa?authType=name&authToken=kxst&trk=connect_hub_pymk_profile_photo&invAcpt=","2"
"76","1","77","42567.214917998","Invite Sachin S. to Connect | LinkedIn","0","https://www.linkedin.com/people/invite?from=profile&key=390111458&firstName=Sachin+S%2E&lastName=Kamath&authToken=kxst&authType=name&connectionParam=member_desktop_profile_top-card-primary&csrfToken=ajax%3A6556174505589333080&goback=%2Enpv_AA4AABdAoOIBntQrXQRQmcbU*4*4MzZo*4NC5DqYaU_*1_*1_name_kxst_*1_*1_*1_*2_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_connect*4hub*4pymk*4profile*4photo_*1_*1&trk=prof-0-sb-connect-button","1"
"77","1","74","42567.214135938","Sachin S. Kamath | LinkedIn","0","https://www.linkedin.com/profile/view?id=AA4AABdAoOIBntQrXQRQmcbU__MzZo_NC5DqYaU&authType=name&authToken=kxst&trk=connect_hub_pymk_profile_photo&invAcpt=","1"
"78","1","68","42567.213627674","People You May Know | LinkedIn","0","https://www.linkedin.com/people/pymk/hub?ref=global-nav&trk=nav_utilities_pymk_subheader","2"
"79","1","70","42567.21277412","","0","https://www.linkedin.com/in/gowtham-ramesh-1b847446?authType=name&authToken=Gm8q&trk=connect_hub_pymk_profile_photo&invAcpt=","1"
"80","1","69","42567.212680891","Gowtham Ramesh | LinkedIn","0","https://www.linkedin.com/profile/view?id=AA4AAAmt4xwBkKX0LnII6_iD7lkmVe7Jn5GkCxQ&authType=name&authToken=Gm8q&trk=connect_hub_pymk_profile_photo&invAcpt=","1"
"81","1","67","42567.211951991","Who's viewed your profile | LinkedIn","0","https://www.linkedin.com/wvmx/profile?trk=hp-identity-wvmp","1"
"82","1","66","42567.211560694","Welcome! | LinkedIn","0","https://www.linkedin.com/nhome/","1"
"83","1","64","42567.206924016","World’s Largest Professional Network | LinkedIn","0","https://in.linkedin.com/","1"
"84","1","62","42567.206810579","linked in - Google Search","0","https://www.google.co.in/search?q=linked+in&rlz=1C1CHZL_enIN689IN689&oq=linked+in&aqs=chrome..69i57.1901j0j7&sourceid=chrome&ie=UTF-8","1"
"85","1","63","42567.206631377","","0","https://github.com/","1"
"86","1","61","42567.20660103","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=github.com","1"
"87","1","46","42567.206091806","java - javac not working in windows command prompt - Stack Overflow","0","http://stackoverflow.com/questions/1678520/javac-not-working-in-windows-command-prompt","2"
"88","1","59","42566.968165845","Java Tutorial","0","http://www.tutorialspoint.com/java/","1"
"89","1","58","42566.968087928","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=java%20tutorial","1"
"90","1","40","42566.96803713","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8","4"
"91","1","57","42566.959014873","Setting the java path - Stack Overflow","0","http://stackoverflow.com/questions/7040028/setting-the-java-path","1"
"92","1","56","42566.958956875","set path for java in windows stackoverflow - Google Search","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=set+path+for+java+in+windows+stackoverflow","1"
"93","1","55","42566.958802697","set path for java in windows 7 - Google Search","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=set%20path%20for%20java%20in%20windows","1"
"94","1","54","42566.957871065","Java Platform Standard Edition 8 Documentation","0","http://docs.oracle.com/javase/8/docs/","1"
"95","1","52","42566.948521782","Code, Compile & Run | CodeChef","0","https://www.codechef.com/ide","2"
"96","1","51","42566.948112951","online java compiler - Google Search","0","https://www.google.co.in/search?q=online+java+compiler&rlz=1C1CHZL_enIN689IN689&oq=online+java+compiler&aqs=chrome.0.69i59j69i57j69i60j69i61.3099j0j7&sourceid=chrome&ie=UTF-8","1"
"97","1","50","42566.947828148","Compile and Execute Java Online","0","http://www.tutorialspoint.com/compile_java_online.php","1"
"98","1","49","42566.947732442","online java compiler - Google Search","0","https://www.google.co.in/search?q=online+java+compiler&rlz=1C1CHZL_enIN689IN689&oq=online+java+compiler&aqs=chrome.0.69i59j69i57j69i60.4731j0j7&sourceid=chrome&ie=UTF-8","1"
"99","1","48","42566.947573275","Online Java IDE (javac 1.8.0_91)","0","https://www.compilejava.net/","1"
"100","1","47","42566.947461042","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=online+java+compiler","1"
"101","1","45","42566.942028021","javac isnt working - Google Search","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=javac+isnt+working","1"
"102","1","41","42566.941897384","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=how%20to%20compile%20java%20file%20from%20cmd","3"
"103","1","44","42566.940569537","How to run a java program from the command line - Stack Overflow","0","http://stackoverflow.com/questions/16137713/how-to-run-a-java-program-from-the-command-line","1"
"104","1","43","42566.939928646","Java and the Windows Command Prompt","0","http://introcs.cs.princeton.edu/java/15inout/windows-cmd.html","1"
"105","1","39","42566.93925272","Download DrJava from SourceForge.net","0","https://sourceforge.net/projects/drjava/files/1.%20DrJava%20Stable%20Releases/drjava-stable-20140826-r5761/drjava-stable-20140826-r5761.exe/download?use_mirror=ufpr","1"
"106","1","36","42566.939150417","DrJava","0","http://www.drjava.org/","1"
"107","1","35","42566.939087222","download dr java - Google Search","0","https://www.google.co.in/?gfe_rd=cr&ei=GmeIV-7YA6XT8geyiauIBA#q=download+dr+java","1"
"108","1","34","42566.938968437","Google","0","https://www.google.co.in/?gfe_rd=cr&ei=GmeIV-7YA6XT8geyiauIBA","1"
"109","1","15","42566.938856956","","0","https://www.quora.com/#","7"
"110","1","32","42566.877694988","Facebook - Log In or Sign Up","0","https://www.facebook.com/","1"
"111","1","29","42566.877629352","Facebook","0","https://www.facebook.com/login.php?skip_api_login=1&api_key=136609459636&signed_next=1&next=https%3A%2F%2Fwww.facebook.com%2Fv2.0%2Fdialog%2Foauth%3Fredirect_uri%3Dhttps%253A%252F%252Fstaticxx.facebook.com%252Fconnect%252Fxd_arbiter%252Fr%252Fbz-D0tzmBsw.js%253Fversion%253D42%2523cb%253Df35818c2905f68%2526domain%253Dwww.quora.com%2526origin%253Dhttps%25253A%25252F%25252Fwww.quora.com%25252Ff3b7ae558fb4e1%2526relation%253Dopener%2526frame%253Df1f8ffb013db01%26display%3Dpopup%26scope%3Duser_hometown%252Cuser_location%252Cuser_work_history%252Cuser_education_history%252Cemail%252Cuser_likes%252Cuser_friends%26response_type%3Dtoken%252Csigned_request%26domain%3Dwww.quora.com%26origin%3D1%26client_id%3D136609459636%26ret%3Dlogin%26sdk%3Djoey%26logger_id%3Dd1b09612-9b8c-4fd3-98be-92f7f12d4eda&cancel_url=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2Fbz-D0tzmBsw.js%3Fversion%3D42%23cb%3Df35818c2905f68%26domain%3Dwww.quora.com%26origin%3Dhttps%253A%252F%252Fwww.quora.com%252Ff3b7ae558fb4e1%26relation%3Dopener%26frame%3Df1f8ffb013db01%26error%3Daccess_denied%26error_code%3D200%26error_description%3DPermissions%2Berror%26error_reason%3Duser_denied%26e2e%3D%257B%257D&display=popup&locale=en_GB&logger_id=d1b09612-9b8c-4fd3-98be-92f7f12d4eda","1"
"112","1","27","42566.877477465","Facebook","0","https://www.facebook.com/login.php?skip_api_login=1&api_key=136609459636&signed_next=1&next=https%3A%2F%2Fwww.facebook.com%2Fv2.0%2Fdialog%2Foauth%3Fredirect_uri%3Dhttps%253A%252F%252Fstaticxx.facebook.com%252Fconnect%252Fxd_arbiter%252Fr%252Fbz-D0tzmBsw.js%253Fversion%253D42%2523cb%253Df3c613d27e948b8%2526domain%253Dwww.quora.com%2526origin%253Dhttps%25253A%25252F%25252Fwww.quora.com%25252Ff3b7ae558fb4e1%2526relation%253Dopener%2526frame%253Df39741e435ef688%26display%3Dpopup%26scope%3Duser_hometown%252Cuser_location%252Cuser_work_history%252Cuser_education_history%252Cemail%252Cuser_likes%252Cuser_friends%26response_type%3Dtoken%252Csigned_request%26domain%3Dwww.quora.com%26origin%3D1%26client_id%3D136609459636%26ret%3Dlogin%26sdk%3Djoey%26logger_id%3D44a8f782-4295-4ef0-95b6-ed86c10844a9&cancel_url=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2Fbz-D0tzmBsw.js%3Fversion%3D42%23cb%3Df3c613d27e948b8%26domain%3Dwww.quora.com%26origin%3Dhttps%253A%252F%252Fwww.quora.com%252Ff3b7ae558fb4e1%26relation%3Dopener%26frame%3Df39741e435ef688%26error%3Daccess_denied%26error_code%3D200%26error_description%3DPermissions%2Berror%26error_reason%3Duser_denied%26e2e%3D%257B%257D&display=popup&locale=en_GB&logger_id=44a8f782-4295-4ef0-95b6-ed86c10844a9","1"
"113","1","25","42566.877408947","Facebook","0","https://www.facebook.com/login.php?skip_api_login=1&api_key=136609459636&signed_next=1&next=https%3A%2F%2Fwww.facebook.com%2Fv2.0%2Fdialog%2Foauth%3Fredirect_uri%3Dhttps%253A%252F%252Fstaticxx.facebook.com%252Fconnect%252Fxd_arbiter%252Fr%252Fbz-D0tzmBsw.js%253Fversion%253D42%2523cb%253Df365735919adc34%2526domain%253Dwww.quora.com%2526origin%253Dhttps%25253A%25252F%25252Fwww.quora.com%25252Ff3b7ae558fb4e1%2526relation%253Dopener%2526frame%253Df1167ed7911343c%26display%3Dpopup%26scope%3Duser_hometown%252Cuser_location%252Cuser_work_history%252Cuser_education_history%252Cemail%252Cuser_likes%252Cuser_friends%26response_type%3Dtoken%252Csigned_request%26domain%3Dwww.quora.com%26origin%3D1%26client_id%3D136609459636%26ret%3Dlogin%26sdk%3Djoey%26logger_id%3Dfe618dce-03ed-421a-b21e-b2b4369bab1e&cancel_url=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2Fbz-D0tzmBsw.js%3Fversion%3D42%23cb%3Df365735919adc34%26domain%3Dwww.quora.com%26origin%3Dhttps%253A%252F%252Fwww.quora.com%252Ff3b7ae558fb4e1%26relation%3Dopener%26frame%3Df1167ed7911343c%26error%3Daccess_denied%26error_code%3D200%26error_description%3DPermissions%2Berror%26error_reason%3Duser_denied%26e2e%3D%257B%257D&display=popup&locale=en_GB&logger_id=fe618dce-03ed-421a-b21e-b2b4369bab1e","1"
